Date,Category,Expense
24-02-2022,Food,324.7
24-02-2022,Housing,303
25-02-2022,Food,33
25-02-2022,Self-development,400
26-02-2022,Food,25
26-02-2022,Food,40
26-02-2022,Food,84
26-02-2022,Other,150
26-02-2022,Other,100
26-02-2022,Social Life,1700
27-02-2022,Food,243
27-02-2022,Food,279
28-02-2022,Food,339.15
28-02-2022,Other,1500
